city,cuisine,count,mean,std,min,25%,50%,75%,max
agincourt,burger,2.0,2.25,0.3535533905932738,2.0,2.125,2.25,2.375,2.5
ahwatukee,breakfast,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
ahwatukee,italian,2.0,3.75,0.3535533905932738,3.5,3.625,3.75,3.875,4.0
airdrie,american,4.0,3.25,0.6454972243679028,2.5,2.875,3.25,3.625,4.0
airdrie,asian,2.0,2.25,1.7677669529663689,1.0,1.625,2.25,2.875,3.5
airdrie,barbequ,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
airdrie,breakfast,5.0,3.0,0.3535533905932738,2.5,3.0,3.0,3.0,3.5
airdrie,burger,6.0,3.3333333333333335,0.6831300510639732,2.5,2.75,3.5,3.875,4.0
airdrie,cafe,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
airdrie,chines,3.0,3.5,0.8660254037844386,3.0,3.0,3.0,3.75,4.5
airdrie,italian,6.0,2.9166666666666665,1.241638702145945,1.0,2.25,3.25,3.5,4.5
airdrie,japanes,1.0,4.5,,4.5,4.5,4.5,4.5,4.5
airdrie,lebanes,1.0,4.5,,4.5,4.5,4.5,4.5,4.5
airdrie,mediterranean,2.0,3.75,0.3535533905932738,3.5,3.625,3.75,3.875,4.0
airdrie,mexican,3.0,4.166666666666667,0.28867513459481287,4.0,4.0,4.0,4.25,4.5
airdrie,thai,1.0,3.5,,3.5,3.5,3.5,3.5,3.5
airdrie,vegan,1.0,4.5,,4.5,4.5,4.5,4.5,4.5
airdrie,vegetarian,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
airdrie,vietnames,3.0,3.6666666666666665,0.5773502691896258,3.0,3.5,4.0,4.0,4.0
ajax,afghan,1.0,4.5,,4.5,4.5,4.5,4.5,4.5
ajax,american,11.0,3.090909090909091,0.8005679801922451,2.0,2.5,3.0,3.5,4.5
ajax,arabian,1.0,3.5,,3.5,3.5,3.5,3.5,3.5
ajax,asian,1.0,3.5,,3.5,3.5,3.5,3.5,3.5
ajax,barbequ,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
ajax,breakfast,12.0,3.7083333333333335,0.9159777025207281,1.5,3.375,4.0,4.125,5.0
ajax,burger,14.0,3.2142857142857144,0.8925823753039809,1.5,2.625,3.25,3.875,4.5
