,city,cuisine
1,Mississauga,chines
2,Charlotte,japanes
11,Phoenix,breakfast
13,Mentor-on-the-Lake,italian
25,Las Vegas,mexican
29,Toronto,vegan
32,Toronto,breakfast
35,Charlotte,italian
50,Toronto,breakfast
66,Pittsburgh,vegan
71,Mississauga,korean
73,Pittsburgh,japanes
77,West Mifflin,american
78,Phoenix,chines
80,Calgary,italian
81,Etobicoke,cafe
82,Montréal,portugues
92,Montréal,mediterranean
96,Toronto,mexican
113,North Olmsted,american
115,Calgary,american
116,Toronto,breakfast
119,Toronto,cafe
120,Hudson,american
125,Toronto,vegan
132,Tempe,chines
135,Las Vegas,italian
140,Chandler,american
141,Concord,thai
147,Pittsburgh,caribbean
156,Henderson,american
157,Charlotte,vegetarian
166,Toronto,breakfast
174,Las Vegas,french
180,Montréal,vietnames
181,Phoenix,mexican
185,Toronto,japanes
187,Scottsdale,chines
190,Toronto,italian
197,Chandler,burger
200,Madison,burger
207,Calgary,breakfast
214,Las Vegas,vegetarian
224,Pickering,burger
229,Richmond Hill,mediterranean
243,Mentor,vegetarian
256,Mississauga,burger
260,Calgary,italian
263,Calgary,italian
273,Phoenix,italian
285,Toronto,mexican
293,Toronto,chines
294,Pittsburgh,american
297,Calgary,breakfast
298,Phoenix,burger
309,Montréal,cafe
321,Calgary,barbequ
334,Montréal,chines
343,Henderson,hawaiian
346,Chandler,asian
356,Champaign,chines
362,Laval,vegetarian
367,Mesa,barbequ
374,Richmond Hill,chines
377,Pittsburgh,burger
384,Montréal,french
387,Brunswick,american
406,Scarborough,indian
407,Madison,italian
413,Phoenix,american
414,Toronto,breakfast
417,Toronto,cafe
422,Oakville,mediterranean
424,Mississauga,italian
425,Brampton,breakfast
432,Calgary,breakfast
439,Glendale,vietnames
441,Toronto,caribbean
444,Dollard-des-Ormeaux,japanes
446,Stow,cafe
453,Toronto,mediterranean
454,Charlotte,american
465,Montréal,breakfast
468,Scottsdale,italian
469,Newmarket,breakfast
485,Phoenix,breakfast
498,Chandler,vietnames
505,Indian Trail,mediterranean
507,Scottsdale,asian
513,Charlotte,american
514,Chandler,cafe
523,Scottsdale,vietnames
524,Calgary,japanes
529,Toronto,american
532,Calgary,vietnames
534,Glendale,american
535,Matthews,asian
537,Cave Creek,american
542,Las Vegas,mexican
549,Tempe,chines
565,Willoughby,burger
577,Montréal,japanes
584,Charlotte,burger
593,Scottsdale,breakfast
595,Champlain,burger
599,Gilbert,chines
602,Toronto,italian
603,Pineville,american
612,Montréal,burger
618,Pittsburgh,indian
621,Montréal,french
628,Richmond Hill,breakfast
630,Toronto,italian
632,Ajax,american
633,Toronto,breakfast
635,Phoenix,american
637,Burton,burger
641,Toronto,italian
652,Toronto,cafe
655,Phoenix,american
671,Toronto,cafe
673,Phoenix,american
679,Toronto,burger
681,Scottsdale,italian
685,Gilbert,breakfast
686,Thornhill,vegan
687,Pittsburgh,american
688,Calgary,american
693,Las Vegas,italian
695,Cornelius,italian
706,Henderson,japanes
708,Phoenix,american
709,Toronto,vietnames
715,Avondale,american
718,Las Vegas,chines
725,Solon,american
732,Toronto,korean
765,Charlotte,breakfast
766,Toronto,asian
770,Amherst,burger
776,Las Vegas,thai
779,North Las Vegas,mexican
