cuisine,count,mean,std,min,25%,50%,75%,max
afghan,78.0,3.6794871794871793,0.5522936764333856,2.0,3.5,3.5,4.0,5.0
african,69.0,3.869565217391304,0.6894806971290457,2.0,3.5,4.0,4.5,5.0
american,6818.0,3.4457318861836317,0.6973851281751319,1.0,3.0,3.5,4.0,5.0
arabian,35.0,4.042857142857143,0.6227480437949364,2.5,3.5,4.0,4.5,5.0
argentin,27.0,3.740740740740741,0.6258896801656757,2.0,3.5,3.5,4.25,4.5
asian,886.0,3.6173814898419865,0.6295835993244606,1.0,3.0,3.5,4.0,5.0
australian,9.0,3.5555555555555554,0.8079466429027216,2.0,3.5,4.0,4.0,4.5
barbequ,960.0,3.5989583333333335,0.6900144006698226,1.0,3.0,3.5,4.0,5.0
brazilian,99.0,4.217171717171717,0.8486532432950364,1.5,3.75,4.5,5.0,5.0
breakfast,3036.0,3.603919631093544,0.7345247724308949,1.0,3.0,3.5,4.0,5.0
british,102.0,3.627450980392157,0.5957201919342983,2.0,3.5,3.5,4.0,4.5
burger,3116.0,2.9991976893453147,0.9211703063484135,1.0,2.5,3.0,3.5,5.0
cafe,1999.0,3.8849424712356178,0.695342998870467,1.5,3.5,4.0,4.5,5.0
cajuncreol,176.0,3.5994318181818183,0.7251007543066714,1.0,3.5,3.5,4.0,5.0
caribbean,370.0,3.841891891891892,0.6214343834130921,1.5,3.5,4.0,4.5,5.0
chines,2643.0,3.45005675368899,0.7163885294764181,1.0,3.0,3.5,4.0,5.0
cuban,45.0,3.7777777777777777,0.5595813731096784,2.0,3.5,4.0,4.0,5.0
ethiopian,48.0,4.0625,0.511828179281273,2.5,4.0,4.0,4.5,5.0
french,561.0,3.8672014260249554,0.5822623767911973,2.0,3.5,4.0,4.5,5.0
german,78.0,3.9294871794871793,0.6122364737856605,2.0,3.5,4.0,4.5,5.0
hawaiian,164.0,3.926829268292683,0.6123571636106074,2.0,3.5,4.0,4.5,5.0
indian,937.0,3.628068303094984,0.6334950903659294,1.5,3.5,3.5,4.0,5.0
indonesian,16.0,3.6875,0.6551081335677849,2.0,3.5,4.0,4.0,5.0
italian,3285.0,3.55220700152207,0.7245050600134332,1.0,3.0,3.5,4.0,5.0
japanes,1686.0,3.6352313167259784,0.6137239831306246,1.0,3.5,3.5,4.0,5.0
kebab,27.0,3.962962962962963,0.7586162241203225,2.0,3.75,4.0,4.5,5.0
korean,450.0,3.7688888888888887,0.5779243337245907,2.0,3.5,4.0,4.0,5.0
lebanes,108.0,3.7268518518518516,0.771526764241179,2.0,3.0,4.0,4.5,5.0
malaysian,27.0,3.6481481481481484,0.49642597276809197,2.5,3.5,4.0,4.0,4.5
mediterranean,1068.0,3.7780898876404496,0.6650375072191302,1.0,3.5,4.0,4.125,5.0
mexican,3087.0,3.4211208292840944,0.7700743838651228,1.0,3.0,3.5,4.0,5.0
moroccan,33.0,3.9393939393939394,0.6219623149453037,2.5,3.5,4.0,4.5,5.0
portugues,139.0,3.7482014388489207,0.5626480504663345,2.5,3.5,4.0,4.0,5.0
russian,37.0,3.9864864864864864,0.5588490961899396,2.5,3.5,4.0,4.5,5.0
singaporean,12.0,3.5416666666666665,0.5418123347254159,3.0,3.0,3.5,4.0,4.5
thai,792.0,3.70959595959596,0.6262353865978803,1.0,3.5,4.0,4.0,5.0
turkish,68.0,3.8823529411764706,0.5737910526322039,2.5,3.5,4.0,4.5,4.5
vegan,412.0,4.050970873786408,0.5502258144054711,1.0,4.0,4.0,4.5,5.0
vegetarian,481.0,3.871101871101871,0.5710157543220604,1.5,3.5,4.0,4.5,5.0
vietnames,671.0,3.6959761549925485,0.5558093944983806,1.5,3.5,4.0,4.0,5.0
