Souce,Sink,Connected
1933312,3025121,1
1933312,3392171,1
1933312,3542411,1
1933312,38814,1
1933312,1348407,1
1933312,1695324,1
1291514,3072002,1
4052990,3072002,1
2177982,3072002,1
4333556,3072002,1
3274382,3072002,1
2695621,3072002,1
1122560,2351112,1
2261005,571350,1
2261005,3638992,1
2261005,661704,1
2261005,2972686,1
2261005,2809458,1
2261005,4830936,1
2619379,90125,1
714035,90125,1
1660431,90125,1
376921,90125,1
4673870,90125,1
3247133,90125,1
3024134,1990675,1
3096596,966821,1
3096596,2383012,1
3096596,1834156,1
3096596,4075408,1
3096596,4387754,1
3096596,4367101,1
20388,1105946,1
2619379,1105946,1
3472025,1105946,1
2984603,1105946,1
2057013,1105946,1
1699324,1105946,1
2826267,1726200,1
2826267,4628252,1
2826267,2637680,1
2826267,4431018,1
2826267,759828,1
2826267,1147795,1
1097755,310189,1
1097755,1492534,1
1097755,1917159,1
1097755,312146,1
1097755,1321321,1
1097755,3969265,1
3940380,1852032,1
3940380,513195,1
3940380,3238763,1
3940380,4566491,1
3940380,1113354,1
3940380,1405393,1
4825117,3483783,1
4825117,2791330,1
4825117,259207,1
4825117,3219232,1
4825117,4334688,1
4825117,3256132,1
3711007,68706,1
3711007,3075034,1
3711007,103461,1
3711007,4138854,1
3711007,1503594,1
3711007,1910142,1
3553485,483355,1
1763327,483355,1
3407905,4198233,1
3407905,1538063,1
3407905,4714877,1
3407905,3999449,1
3407905,3180565,1
3407905,2132072,1
3314478,901150,1
3247133,901150,1
745007,901150,1
2120801,901150,1
164508,901150,1
1324992,901150,1
1032219,1902799,1
1032219,1764720,1
1032219,4075339,1
1032219,857869,1
1032219,3776130,1
1032219,2266761,1
2826278,583821,1
2826278,1858070,1
2826278,1651955,1
2826278,3546206,1
2826278,599942,1
2826278,1578158,1
4751399,2516293,1
4751399,4106625,1
4751399,4847778,1
4751399,1072757,1
4751399,1205781,1
4751399,4791769,1
1327147,3427357,1
1327147,3819231,1
1327147,998412,1
1327147,2136764,1
1327147,3931026,1
1327147,2422945,1
4128817,4164269,1
4128817,1136417,1
4128817,2860873,1
4128817,2886631,1
4128817,4227737,1
4128817,2245593,1
606263,2358525,1
606263,1402963,1
606263,4141677,1
606263,4522852,1
606263,4744598,1
606263,3557154,1
20388,3088440,1
740572,3088440,1
2661137,3088440,1
4790649,3088440,1
1658132,3088440,1
4333556,3088440,1
3178553,4575371,1
3178553,3869571,1
3178553,4010735,1
3178553,1556932,1
3178553,3005217,1
3178553,3948267,1
1368123,1805044,1
1368123,2501077,1
1368123,2000088,1
1368123,1312755,1
1368123,304937,1
1368123,4110011,1
3768380,1360169,1
3768380,1894617,1
3768380,220879,1
3768380,349146,1
3768380,2964286,1
3768380,2000589,1
4497472,1638521,1
4497472,2404864,1
4497472,2574350,1
4497472,251792,1
4497472,2802379,1
4497472,2347135,1
2757027,3416132,1
1953662,3416132,1
714035,3416132,1
3465568,3416132,1
2742606,3416132,1
4851622,3416132,1
4399173,2342205,1
4399173,523370,1
4399173,1848747,1
4399173,652600,1
4399173,4056754,1
4399173,747694,1
2924614,871525,1
2924614,4241377,1
2924614,371716,1
2924614,1905523,1
2924614,4371762,1
2924614,1395298,1
3174668,3080263,1
2757027,3080263,1
4673870,3080263,1
2742606,3080263,1
3247133,3080263,1
745007,3080263,1
2324352,2302024,1
1242778,2302024,1
4865997,2302024,1
1340111,2302024,1
3256144,2302024,1
2747234,2302024,1
478279,4177994,1
158823,4177994,1
4275635,4177994,1
1326339,1491019,1
1686554,1491019,1
4009971,1491019,1
3629131,2560364,1
3629131,1647369,1
3629131,1594988,1
3629131,4375073,1
3629131,4476596,1
3629131,4824762,1
1392717,4355015,1
1392717,3726255,1
1392717,4781298,1
1392717,3658016,1
1392717,212929,1
1392717,4595643,1
2891857,2571463,1
2891857,1741362,1
2891857,4122618,1
2891857,3601631,1
2891857,3534514,1
2891857,2354884,1
20388,4169815,1
144710,4169815,1
1802489,819288,1
3318300,819288,1
3216506,819288,1
1480681,819288,1
2894401,819288,1
1281095,819288,1
2984603,1974361,1
448823,1974361,1
714035,1974361,1
745007,1974361,1
2957222,1974361,1
1324992,1974361,1
4726874,716659,1
4726874,4847918,1
4726874,2259601,1
4726874,451638,1
4726874,588337,1
4726874,247783,1
475232,2246513,1
475232,3709012,1
475232,4520863,1
475232,383766,1
475232,4022691,1
475232,2020559,1
1310817,4388874,1
1310817,4109595,1
1310817,1139433,1
1310817,3536565,1
1310817,3064489,1
1310817,2783695,1
532578,2660749,1
532578,1758899,1
532578,3332459,1
532578,1778002,1
532578,2529936,1
532578,1507417,1
311395,2469759,1
311395,994197,1
311395,3722929,1
311395,1217403,1
311395,3538259,1
311395,201798,1
1114213,1821353,1
1114213,2325781,1
1114213,4535857,1
1114213,1629581,1
1114213,2743030,1
1114213,4111617,1
2220133,1204915,1
2220133,772706,1
2220133,2308723,1
2220133,1719651,1
2220133,2773815,1
2220133,4530005,1
1278054,4612815,1
1278054,4751790,1
1278054,4122878,1
1278054,3977315,1
1278054,2840444,1
1278054,106310,1
614504,2805603,1
614504,3572905,1
614504,1348494,1
614504,675931,1
614504,636380,1
614504,1951481,1
1187945,451855,1
1187945,2151673,1
1187945,2711818,1
1187945,4616463,1
1187945,206750,1
1187945,2895325,1
3792997,4000427,1
3792997,329006,1
3792997,4227266,1
3792997,2529946,1
3792997,3279369,1
3792997,1538707,1
3670317,254059,1
848620,254059,1
1802489,254059,1
4052990,254059,1
2619379,254059,1
262930,254059,1
