Souce,Sink,Jaccard,Resource_alloc,Adamic_adar,Preferential_attachment,Common Neighbours,CN Sound-Hopcroft,Resoruce Alloc Index,Within Inner Cluster
2184483,1300190,0.0,0,0,435,0,0,0,0.0
3151356,1452193,0.006259780907668232,0.0007395088590716332,0.4077046379985356,102306,4,8,0.0007395088590716332,4000.0
1579396,193159,0.0,0,0,418,0,0,0,0.0
1406432,2481036,0.0625,0.032616871212827,1.2388975904578436,2838,7,14,0.032616871212827,7000.0
2389638,593017,0.012072434607645875,0.006229280633719201,0.8028118928629641,62196,6,12,0.006229280633719201,6000.0
228206,212805,0.013474494706448507,0.045945261389900884,2.357317109050002,16592,14,28,0.045945261389900884,14000.0
1237964,879115,0.002012072434607646,1.6169717353340663e-05,0.09064235218597792,7712,1,2,1.6169717353340663e-05,1000.0
3318124,1840575,0.0078125,0.0017452006980802793,0.15745835220560253,2678,1,2,0.0017452006980802793,1000.0
4522929,1552625,0.003976143141153081,8.556217239857661e-06,0.15832409171119385,27846,2,4,8.556217239857661e-06,2000.0
3406737,3781412,0.0,0,0,60,0,0,0,0.0
1567983,3008412,0.017341040462427744,2.6816681106174636e-05,0.25787794265940944,7728,3,6,2.6816681106174636e-05,3000.0
4370932,2906415,0.009433962264150943,0.0004885197850512946,0.13116249633508392,210,1,2,0.0004885197850512946,1000.0
286240,474307,0.0,0,0,3354,0,0,0,0.0
4796773,3115614,0.006535947712418301,5.690547999772378e-05,0.10231101227470571,745,1,2,5.690547999772378e-05,1000.0
2207765,4354226,0.0039946737683089215,0.01792525187979742,0.9829359729366093,271491,6,12,0.01792525187979742,6000.0
1283384,279636,0.0,0,0,9660,0,0,0,0.0
368544,2431466,0.0017338534893801473,0.0012150148378344545,0.45584307130875173,404920,4,8,0.0012150148378344545,4000.0
3921857,4512147,0.0,0,0,201,0,0,0,0.0
49037,3175009,0.0009852216748768472,1.3112054304884109e-06,0.07383035914027619,1015,1,2,1.3112054304884109e-06,1000.0
61633,1064392,0.0851063829787234,0.01382131246186817,0.671689770627829,344,4,8,0.01382131246186817,4000.0
1459453,654182,0.0,0,0,434,0,0,0,0.0
447597,2736867,0.0,0,0,9056,0,0,0,0.0
2121585,3413796,0.0,0,0,408,0,0,0,0.0
933347,1131654,0.001990049751243781,0.001305559916695177,1.8378051187883382,851960,18,36,0.001305559916695177,18000.0
3733033,488937,0.0,0,0,808,0,0,0,0.0
3023014,2817859,0.005555555555555556,0.0028525641025641023,0.3049696999250657,3861,2,4,0.0028525641025641023,2000.0
1404783,410037,0.0,0,0,225,0,0,0,0.0
1886158,3656408,0.025404157043879907,0.009958880008853538,1.4417001468049446,46784,11,22,0.009958880008853538,11000.0
3316731,4579088,0.00825082508250825,0.001132617787515363,0.568119138225466,52728,5,10,0.001132617787515363,5000.0
2369031,1860112,0.0103397341211226,0.00511039563854432,0.9468609721949292,69875,7,14,0.00511039563854432,7000.0
2850334,755258,0.0,0,0,158368,0,0,0,0.0
