Souce,Sink,Connected,Jaccard,Resource_alloc,Adamic_adar,Preferential_attachment,Common Neighbours,CN Sound-Hopcroft,Resoruce Alloc Index,Within Inner Cluster
1971490,4521813,1,0.03698435277382646,0.0007048647732834798,2.3607980883444872,68598,26,52,0.0007048647732834798,26000.0
2863976,926731,1,0.0,0,0,32,0,0,0,0.0
370525,3608160,1,0.0,0,0,7371,0,0,0,0.0
3682375,2984819,1,0.04158004158004158,0.06558207876180513,3.278562095724319,29444,20,40,0.06558207876180513,20000.0
4342778,94321,1,0.0,0,0,422,0,0,0,0.0
1932909,1193017,1,0.004739336492890996,0.0006432563247244811,0.31325949212465376,44480,3,6,0.0006432563247244811,3000.0
173252,4831938,1,0.02040816326530612,0.006952712397350185,0.34438740751810726,2475,2,4,0.006952712397350185,2000.0
1746838,2685283,1,0.006944444444444444,0.41829967140788565,7.59262944246992,733194,41,82,0.41829967140788565,41000.0
1993158,3460792,1,0.0010273431326062905,0.07100236490627317,1.8576735198715586,5638710,13,26,0.07100236490627317,13000.0
2014945,3013963,1,0.0014326647564469914,0.002364066193853428,0.16536108087822513,1394,1,2,0.002364066193853428,1000.0
2410277,2187051,1,0.0,0,0,30,0,0,0,0.0
3969780,2911365,1,0.017857142857142856,0.005050643653636833,0.5637798425539408,12932,4,8,0.005050643653636833,4000.0
606689,1308011,1,0.0,0,0,26,0,0,0,0.0
404449,1351949,1,0.012578616352201259,0.00029675959426976015,0.219248542708486,5358,2,4,0.00029675959426976015,2000.0
3088513,4299022,1,0.0055248618784530384,0.02,0.25562221863533147,4917,1,2,0.02,1000.0
2696976,4081433,1,0.06403940886699508,3.043524603421618,13.929377907348048,69255,39,78,3.043524603421618,39000.0
2076568,348542,1,0.0,0,0,36,0,0,0,0.0
2354098,4052990,1,0.0019289403272976168,0.24619363866055252,9.654849151975736,4201563,62,124,0.24619363866055252,62000.0
3177976,2116957,1,0.12231030577576443,2.3576336115786716,23.71824434365636,229770,108,216,2.3576336115786716,108000.0
4453537,2246489,1,0.005434782608695652,0.002127659574468085,0.16252940760139617,724,1,2,0.002127659574468085,1000.0
2410444,228737,1,0.013054120206690237,0.4284552771930176,8.905041966119907,2224566,48,96,0.4284552771930176,48000.0
3124231,1732367,1,0.009324009324009324,0.00361790793117504,1.0243430126013044,119368,8,16,0.00361790793117504,8000.0
1323607,2093500,1,0.07547169811320754,0.04686769518466573,0.8985766633291419,392,4,8,0.04686769518466573,4000.0
1069609,3216506,1,0.03531073446327684,0.06140988891890421,3.7459099678725263,60066,25,50,0.06140988891890421,25000.0
201146,3992092,1,0.0,0,0,1890,0,0,0,0.0
4267185,4614719,1,0.0015151515151515152,1.9619768879122606e-06,0.07609447843011201,8424,1,2,1.9619768879122606e-06,1000.0
3059524,448823,1,0.0005466325825174038,0.20789861277855753,5.767893901890802,24057316,34,68,0.20789861277855753,34000.0
2367409,4737429,1,0.0078125,0.014313708129279488,0.8641792704184407,78480,6,12,0.014313708129279488,6000.0
3290884,397563,1,0.001692047377326565,0.00025673940949935817,0.12095629559290792,1767,1,2,0.00025673940949935817,1000.0
423838,771256,1,0.09026963657678781,0.045472288788887094,9.565730947975181,215441,77,154,0.045472288788887094,77000.0
3420946,1185828,1,0.0,0,0,12,0,0,0,0.0
3806048,791350,1,0.061971830985915494,0.03791942537161964,3.012596018918828,16900,22,44,0.03791942537161964,22000.0
23560,611589,1,0.034482758620689655,0.0019083969465648854,0.1597063528015264,56,1,2,0.0019083969465648854,1000.0
2466377,759165,1,0.10474631751227496,0.9128725583027615,13.142074970592525,59384,64,128,0.9128725583027615,64000.0
1327440,1863021,1,0.007220216606498195,0.010503268016811581,0.7745324404819984,7452,6,12,0.010503268016811581,6000.0
1677157,2102888,1,0.025196850393700787,0.06946692414380633,2.787809346506847,42194,16,32,0.06946692414380633,16000.0
3927409,1492644,1,0.004918032786885246,2.8093190962628004e-05,0.2505477742087001,21312,3,6,2.8093190962628004e-05,3000.0
