Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
in-1paulirimia,"Bucharest, Romania",Servicii financiare,June 2012,Independent Consultant,Independent Consultant,KPMG,"•	Financial Audit;	Financial Reporting (International Financial Reporting Standards (IFRS), US GAAP, Romanian Accounting Standards); Corporate Governance; Performance management ; Business analysis; Project Management;Experience in the following industries:•	Automotive (manufacturing);•	Power / Electricity (power plants and distribution to end customers);•	Technology (manufacturing);•	Telecommunication (mobile telecommunications operator);•	Various Manufacturing"
in-abaotic,Croatia,Program Development,December 2011,Software developer,Infinum,Deloitte,Android developer
in-abbydonaldson,"Perth Area, Australia",Information Technology and Services,February 2012,Business Analyst,Fortescue Metals Group,Deloitte,"I have been working as a Business Analyst since completing my degree majoring in Information Technology and Information Systems. I have worked on a variety of projects in different industry sectors including mining, education and agribusiness centred around enhancing technology and processes.Core Analyst tasks have included documenting and redesigning business processes, requirements elicitation and analysis, solution assessment and validation and requirements management."
in-abhijitghosh,"Kolkata Area, India",Information Technology and Services,July 2010,Project Lead & Senior Software Engineer,IBM Global Services,PwC,"An engineering graduate in Computer Science from Jadavpur University, Kolkata, currently working as a Senior Software Engineer for IBM India Pvt. Ltd.More than 7 years of experience in various phases of software development including Requirement Analysis, Designing, Server Configuration and Development.Adequate experience in project delivery with optimum resource management and quality assurance.Have developed sound analytical skills to solve complex, cross-functional and technical issues over my tenure as a software developer.Proficient in understanding business process / requirements and translating them into technical requirements."
in-abhijitht,Bahrain,Information Technology and Services,October 2004,IT Manager / IT Auditor,Deloitte & Touche Middle East,Deloitte,"The key strengths that I possess for success in this position include, but are not limited to, the following: I have successfully done Information System Auditing (Security & Compliance) for more than 20 Clients, Testing and Preparation of Clients Disaster Recovery Policy, Conducted Risk / Vulnerability assessments on Live Information Systems, Implementing and Maintenance of Windows Active Directory Infrastructure, Monitoring and Management of CISCO Firewalls, I have also experience in Linux, IBM AS400, Digitalk, etc. I have experience as a Team Lead in implementing Credant Mobile Guardian Encryption Package over our Offices in Middle East. Presently I am doingCISSP, CISA and RHCE."
in-abhik123,"Toronto, Canada Area",Management Consulting,October 2011,Program Management,Shoppers Drug Mart,Deloitte,"Customer advisory work through to Implementation.Experience in Account, Program and Delivery management in Global Consulting, Enterprise Software Strategy and Offshore delivery across Oracle product stack - Siebel CRM, Business Intelligence and E-business Suite Applications.Managed and achieved indirect revenue targets of USD $3 million – USD $5 million while working in the capacity of Practice Manager at Oracle.IT leadership experience across implementing, managing and solution consulting of enterprise software products, IT led change management, Training and DeliveryImplementation of PMO policies and procedures to track the delivery of projects under my CRM portfolio in areas of Budget, scope, schedule and risks.Experience in Implementing SEI-CMMi KPAs, ITIL Methodologies and PMP Practices successfully. Significant experience in working within a Program Management Office at GE and Oracle.Experience of working with project sponsors in defining the scope for projects for out sourcing based on needs and Vendors capabilities, Vendor development and performance management.Experience in Planning, organizing and controlling project deliverables from major projects to minor stakeholder projects. Developing business cases, Cost Benefit Analysis, calculating ROI, assess benefits and risks and manage project processes.PMP and ITIL V3 Foundation Certified. CMMI certified team member."
in-abirg,"Kolkata Area, India",Information Technology and Services,April 2008,Principal Consultant - Technology Strategy and Architecture,PricewaterhouseCoopers India,PwC,"Abir is a Principal Consultant with the Strategy and Architecture Competency in PwC India Consulting practice. In this role Abir is responsible for project and resource management,allocation, project delivery and management of testing activities performed across the multiple projects in the practice.He also plays an important role in shaping and implementing the go-to market strategy and monitoring project delivery for EA&I offerings in the Financial Services sector with specific focus on the activities in the BA&T space.Previously Abir had been the Testing Delivery manager for the PwC US-IFS projects, the largest account in the practice and was directly responsible for testing delivery and management of a pool of 60-80 resources at offshore for the BAT Testing pool of PwC US.Abir has been responsible for monitoring the overall health of the overall relationship, tracking risks and reporting progress on projects to PwC India and US testing leaders. He was also responsible for tracking and reporting Resource Utilization and Forecasting and other critical metrics to all stakeholders.He has substantial experience in interacting with domestic and international clients in the management and execution of testing projects on a onsite- offshore model. He has had the experience of working in India and at multiple client locations in the US and UK."
in-aburzpinzaru,"Bucharest, Romania",Avocatură,June 2009,Partner,Deloitte / Reff & Associates correspondent law firm of Deloitte Romania,Deloitte,"Attorney at law, Tax & Legal Partner in Deloitte Romania. Financial Services Industry leader of Deloitte Romania and Head of the Banking & Finance legal practice in Reff & Associates, the correspondent law firm of Deloitte Romania. He has 15 years advisory experience in banking, capital markets and M&A (including three years investment banking background).Banking:Worked (lenders' or borrowers' side) on loan and security documentation in bilateral/syndicated loans, project finance, real estate finance, LMBOs, debt restructuring & loan workouts (including dealing with insolvent borrowers), in aggregate value of several billions EUR;Capital Markets:Advised on local and cross-border stock option plans, takeovers, pre-IPO preparation, squeeze-out and de-listings, price stabilisation, insider dealing, market manipulation. Direct capital markets experience - acted for three years as securities profesional (including coordination of six privatisations through secondary public offerings on RASDAQ).M&A:Assisted (buy-side / sell-side) in M&A deals in various industries (due diligence & SPA support). In financial services industry assisted on acquisitions of banks, insurance companies, non-banking financial institutions;Contributor to the drafting of Romanian Mortgage Lending Law, Mortgage Bonds and Securitisation laws. Assisted Romanian Securities Commission (CNVM) in drafting the securities regulations for securitisation instruments and mortgage bonds."
in-adesai2010,Canada,Management Consulting,December 2010,Senior Management Consultant,Temenos,Ernst & Young,"Self-motivated results driven management consultant with a sixteen year track record of successfully delivering on transformation projects within the banking sector, for global organizations such as Temenos, Ernst & Young, Capgemini Consulting, Barclays Group and Credit Agricole.Professional Highlights:- Proven leadership skills to manage projects and leadproject teams (PMP)- Extensive business re-engineering project management experience within the banking industry- Deep knowledge of functional “core banking” processesacross retail and private banking platforms ((ie. Customer, Accounts, Teller, Deposits, Lending, Payments, Trade Finance, Capital Markets, Treasury)- Highly competent in “connecting” and developingcredibility with clients / stake holders to achieve project objectives / goals- Critical thinking skills to identify, dissect and resolveambiguous problems- Proven leadership skills to lead mentor and mobilizecross functional team members to deliver on clientexpectations- Successful working experience across cultures /geographies (Canada, USA, UK, Channel Islands,Australia and Southern Africa)"
in-adrabik,"Twickenham, United Kingdom",Computer & Network Security,October 2010,Global IS Security Manager / Chief Information Security Officer,Reckitt Benckiser,KPMG,Corporate Information Security Officer / Manager with substantial experience in people and technology management. Skilled IT manager with technical background.
in-adrianurrutia,Argentina,Banca,octubre de 2011,Analista de Riesgos,BBVA Banco Frances,Ernst & Young,Contador Público con fuerte orientación hacia las finanzas y la economía. Me considero una persona proactiva y orientada al logro de objetivos. Deseo desarrollarme profesionalmente en una entidad financiera o una compañia multinacional.
in-aferreby,"Rochester, New York Area",Accounting,October 2009,Senior Investment Accountant,Excellus BCBS,Deloitte,"I am a summa cum laude graduate of UB (the University at Buffalo), with a Bachelors degree in Business, Registered accounting (CPA) and Internal audit programs. I am currently the Senior Investment Accountant for Excellus BCBS. I am indivudually responsible for the accounting and reporting for a portfolio of approx $2B. I worked in Public accounting for almost 3 years. I was an ""Audit In-Charge"". The basic responsibility is to run an audit and assist the manager, which means supervising staff, delegating work, helping the manager with budgeting and audit progress, and of course performing more complicated or risky audit work for the engagement. I have mainly worked on Insurance, Not-for-Profit, and some Manufacturing clients. As such, I have extensive knowledge of the reporting and accounting regulations specifically for the insurance industry (both health insurance and life insurance)."
in-afienga,Greece,Information Technology and Services,August 2006,Supervisor,TelePerformance,Deloitte,"Excellent knowledge in Installation, Management and Troubleshooting:Mac Os X (Panther, Tiger, Leopard, Snow Leopard, Lion) and related Sw.MS Windows Os (9x, NT, Win2k, XP, Vista, 7), MS Office (97-2000-Xp-2003), Outlook 2000-2003 (Pop & Exchange), LotusNotes, FireFox, Internet Explorer.Modem/Router, Switch, WiFi Access Point, Modem and NIC.Remote Assistance (VNC, PC Anywhere, ReachOut).Anti-Virus/Spam (Nod32, Kaspersky, McAfee, Norton, SpyBot, AdAware).Data Backup & Disaster Recovery.Cisco & Avaya IP Phone, iPhone, BlackBerry.VPN (CheckPoint, Aventail), Novell, File&Share, VmWare.Pc/WorkStation Assembly & Set Up, Advanced Bios configuration, Fine Tuning, Troubleshooting of any Hw related issue."
in-afsverissimo,"Lisbon Area, Portugal",Tecnologia da informação e serviços,December 2011,Research Fellow,INESC-ID,Deloitte,"""To give anything less than your best is to sacrifice the gift"", Steve Prefontaine--Attended the best engineering college in Portugal pursuing a barchelor and master’s degree in Information Systems and Computer Engineering at Instituto Superior Técnico (IST)Here André started the volunteering career at GASTagus, a volunteer association that allowed him to travel to Africa on a one month project that changed the perspective on life. The social component is a priority and years later he is still very active, having participated as a collaborator, leading a 4 person team to Cape Verde and more recently as a coordinator for the association.André has started his professional career in consulting having worked in a Big Four consulting firm. While at Deloitte he learned and experienced a challenging environment that resulted in personal and professional growth. Professional experience in the logistics and operations processes, which took place mostly in manufacturing and consumer business organizations.Innovation and researching new approaches to difficult problems that are aligned with a social conscience are André's greatest motivations."
in-ajithunni,United Kingdom,Oil & Energy,January 2011,Economist,RWE Dea UK Ltd,Ernst & Young,"Finance & Economics post-graduate trained in financial modelling, quantitative & qualitative risk analysis and supporting commercial negotiations. Currently working as the Economist for an E&P MNC in their Commercial & Legal practice. Previous experiences include working on transaction mandates within the cleantech & power vertical for a Big 4. Proven expertise in research and analysis."
